city,date,aqi,pm25,pm10,no2,so2,co,o3,month,day_of_week,day_of_year,aqi_lag_1,pm25_lag_1,aqi_lag_3,pm25_lag_3,aqi_lag_7,pm25_lag_7,aqi_roll_7
Bangalore,2018-01-08,82.0,45.1,88.56,68.06,93.48,0.86,77.9,1,0,8,91.0,50.05,82.0,45.1,68.0,37.4,81.28571428571429
Bangalore,2018-01-09,76.0,41.8,82.08,63.08,86.64,0.8,72.2,1,1,9,82.0,45.1,90.0,49.5,76.0,41.8,81.28571428571429
Bangalore,2018-01-10,76.0,41.8,82.08,63.08,86.64,0.8,72.2,1,2,10,76.0,41.8,91.0,50.05,70.0,38.5,82.14285714285714
Bangalore,2018-01-11,75.0,41.25,81.0,62.25,85.5,0.79,71.25,1,3,11,76.0,41.8,82.0,45.1,78.0,42.9,81.71428571428571
Bangalore,2018-01-12,81.0,44.55,87.48,67.23,92.34,0.85,76.95,1,4,12,75.0,41.25,76.0,41.8,82.0,45.1,81.57142857142857
Bangalore,2018-01-13,86.0,47.3,92.88,71.38,98.04,0.9,81.7,1,5,13,81.0,44.55,76.0,41.8,90.0,49.5,81.0
Bangalore,2018-01-14,96.0,52.8,103.68,79.68,109.44,1.01,91.2,1,6,14,86.0,47.3,75.0,41.25,91.0,50.05,81.71428571428571
Bangalore,2018-01-15,93.0,51.15,100.44,77.19,106.02,0.98,88.35,1,0,15,96.0,52.8,81.0,44.55,82.0,45.1,83.28571428571429
Bangalore,2018-01-16,88.0,48.4,95.04,73.04,100.32,0.92,83.6,1,1,16,93.0,51.15,86.0,47.3,76.0,41.8,85.0
Bangalore,2018-01-17,95.0,52.25,102.6,78.85,108.3,1.0,90.25,1,2,17,88.0,48.4,96.0,52.8,76.0,41.8,87.71428571428571
Bangalore,2018-01-18,101.0,55.55,109.08,83.83,115.14,1.06,95.95,1,3,18,95.0,52.25,93.0,51.15,75.0,41.25,91.42857142857143
Bangalore,2018-01-19,100.0,55.0,108.0,83.0,114.0,1.05,95.0,1,4,19,101.0,55.55,88.0,48.4,81.0,44.55,94.14285714285714
Bangalore,2018-01-20,103.0,56.65,111.24,85.49,117.42,1.08,97.85,1,5,20,100.0,55.0,95.0,52.25,86.0,47.3,96.57142857142857
Bangalore,2018-01-21,98.0,53.9,105.84,81.34,111.72,1.03,93.1,1,6,21,103.0,56.65,101.0,55.55,96.0,52.8,96.85714285714286
Bangalore,2018-01-22,90.0,49.5,97.2,74.7,102.6,0.95,85.5,1,0,22,98.0,53.9,100.0,55.0,93.0,51.15,96.42857142857143
Bangalore,2018-01-23,98.0,53.9,105.84,81.34,111.72,1.03,93.1,1,1,23,90.0,49.5,103.0,56.65,88.0,48.4,97.85714285714286
Bangalore,2018-01-24,101.0,55.55,109.08,83.83,115.14,1.06,95.95,1,2,24,98.0,53.9,98.0,53.9,95.0,52.25,98.71428571428571
Bangalore,2018-01-25,96.0,52.8,103.68,79.68,109.44,1.01,91.2,1,3,25,101.0,55.55,90.0,49.5,101.0,55.55,98.0
Bangalore,2018-01-26,92.0,50.6,99.36,76.36,104.88,0.97,87.4,1,4,26,96.0,52.8,98.0,53.9,100.0,55.0,96.85714285714286
Bangalore,2018-01-27,94.0,51.7,101.52,78.02,107.16,0.99,89.3,1,5,27,92.0,50.6,101.0,55.55,103.0,56.65,95.57142857142857
Bangalore,2018-01-28,105.0,57.75,113.4,87.15,119.7,1.1,99.75,1,6,28,94.0,51.7,96.0,52.8,98.0,53.9,96.57142857142857
Bangalore,2018-01-29,86.0,47.3,92.88,71.38,98.04,0.9,81.7,1,0,29,105.0,57.75,92.0,50.6,90.0,49.5,96.0
Bangalore,2018-01-30,96.0,52.8,103.68,79.68,109.44,1.01,91.2,1,1,30,86.0,47.3,94.0,51.7,98.0,53.9,95.71428571428571
Bangalore,2018-01-31,96.0,52.8,103.68,79.68,109.44,1.01,91.2,1,2,31,96.0,52.8,105.0,57.75,101.0,55.55,95.0
